avx2,speedtest,keypair_median,keypair_average,encaps_median,encaps_average,decaps_median,decaps_average
True,test_speed512,15218,16319,24952,26799,18904,20197
True,test_speed768,26628,28036,39770,39288,28774,29933
True,test_speed1024,35722,36698,50864,53669,40220,41557
True,test_speed512-90s,15608,16845,23892,24595,15890,16718
True,test_speed768-90s,18316,19306,30262,32835,21954,23520
True,test_speed1024-90s,25758,27539,40316,42060,30254,31693
False,test_speed512,103440,104175,135818,135600,156914,160301
False,test_speed768,157590,161619,187596,190290,216008,222530
False,test_speed1024,245034,253996,265850,268907,300684,306705
False,test_speed512-90s,150968,152173,181942,184475,204462,209202
False,test_speed768-90s,266464,270641,300744,304568,325040,331287
False,test_speed1024-90s,425526,431999,479336,488283,511102,519864
